Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_ACETATE,BURN,NCT01413620,Phase 1,0.07119357573881482,0.9288064242611851
_EXEMESTANE,OVARIAN CANCER,NCT04460807,Phase 3,0.06774189361418372,0.9322581063858165
_LETROZOLE,OVARIAN CANCER,NCT03378297,Early Phase 1,0.15291303131791256,0.8470869686820873
_METFORMIN,OVARIAN CANCER,NCT03378297,Early Phase 1,0.12772892039715153,0.8722710796028486
_ASPIRIN,OVARIAN CANCER,NCT03378297,Early Phase 1,0.09002852992167722,0.909971470078323
_OLAPARIB,OVARIAN CANCER,NCT03378297,Early Phase 1,0.3043938697136107,0.6956061302863897
_PREDNISONE,FRONTOTEMPORAL DEMENTIA,NCT04408625,Phase 1|Phase 2,0.11843330417025143,0.8815666958297487
_METHYLPREDNISOLONE,FRONTOTEMPORAL DEMENTIA,NCT04408625,Phase 1|Phase 2,0.17247102169125877,0.8275289783087415
_SIROLIMUS,FRONTOTEMPORAL DEMENTIA,NCT04408625,Phase 1|Phase 2,0.21613010812191127,0.783869891878089
_DOCETAXEL,NEOPLASMS,NCT03693612,Phase 2,0.1788784745313818,0.8211215254686182
_PACLITAXEL,NEOPLASMS,NCT03693612,Phase 2,0.19335020013630988,0.8066497998636903
_DOCETAXEL,SOFT TISSUE SARCOMA,NCT03449901,Phase 2,0.3431374780661838,0.6568625219338167
_GEMCITABINE,SOFT TISSUE SARCOMA,NCT03449901,Phase 2,0.3316818614699728,0.6683181385300275
_ARGININE,SOFT TISSUE SARCOMA,NCT03449901,Phase 2,0.49776386787611154,0.5022361321238885
_DOCETAXEL,GASTRIC CANCER,NCT01924819,Phase 2|Phase 3,0.07937951536414706,0.9206204846358531
_CAPECITABINE,GASTRIC CANCER,NCT01924819,Phase 2|Phase 3,0.15624571735450435,0.8437542826454957
_EPIRUBICIN,GASTRIC CANCER,NCT01924819,Phase 2|Phase 3,0.06172317194441377,0.9382768280555862
_LEUCOVORIN,GASTRIC CANCER,NCT01924819,Phase 2|Phase 3,0.1378214351414941,0.8621785648585061
_NIRAPARIB,GASTRIC CANCER,NCT04178460,Phase 1,0.4147614271575001,0.5852385728425001
_ENZALUTAMIDE,OVARIAN CANCER,NCT03464201,Phase 2,0.46097732591883556,0.5390226740811644
_CYCLOPHOSPHAMIDE,OVARIAN CANCER,NCT03814447,Early Phase 1,0.16636589191359152,0.8336341080864089
_FLUDARABINE,OVARIAN CANCER,NCT03814447,Early Phase 1,0.18829628330993006,0.8117037166900701
_CYCLOPHOSPHAMIDE,NEOPLASMS,NCT03967223,Phase 2,0.13080996769167086,0.8691900323083293
_FLUDARABINE,NEOPLASMS,NCT03967223,Phase 2,0.17911621227985858,0.8208837877201418
_CYCLOPHOSPHAMIDE,PANCREATIC CANCER,NCT04390399,Phase 2,0.16077727746644982,0.8392227225335506
_LEUCOVORIN,PANCREATIC CANCER,NCT04390399,Phase 2,0.203879488550514,0.7961205114494864
_IRINOTECAN,PANCREATIC CANCER,NCT04390399,Phase 2,0.2608805929945058,0.7391194070054944
_CAPECITABINE,STOMACH NEOPLASMS,NCT03675737,Phase 3,0.2856210803681506,0.7143789196318495
_EVEROLIMUS,SOFT TISSUE SARCOMA,NCT03114527,Phase 2,0.18388089488624731,0.8161191051137529
_GEMCITABINE,ADVANCED PANCREATIC CANCER,NCT04098081,Phase 2,0.2095958018929855,0.7904041981070148
_PACLITAXEL,GASTRIC CANCER,NCT03801668,Phase 3,0.09382188436100013,0.9061781156389999
_PACLITAXEL,PANCREATIC CANCER,NCT04054362,Phase 2,0.09099327481494188,0.9090067251850583
_PARICALCITOL,PANCREATIC CANCER,NCT04054362,Phase 2,0.34152791480552414,0.6584720851944763
_PACLITAXEL,GASTROINTESTINAL STROMAL TUMORS,NCT03944304,Phase 2,0.07093822547949166,0.9290617745205084
_ARGININE,GASTRIC CANCER,NCT01704664,Not Applicable,0.1593588990979846,0.8406411009020154
_LIDOCAINE,PANCREATIC CANCER,NCT04048278,Early Phase 1,0.006767763096300114,0.9932322369036997
_LIDOCAINE_HYDROCHLORIDE,PANCREATIC CANCER,NCT04048278,Early Phase 1,0.1903872971337108,0.8096127028662893
_LIDOCAINE,POMPE DISEASE,NCT02240407,Phase 1,0.04931222476457342,0.9506877752354267
_ACETAMINOPHEN,POMPE DISEASE,NCT02240407,Phase 1,0.08248351482294489,0.9175164851770552
_DIPHENHYDRAMINE,POMPE DISEASE,NCT02240407,Phase 1,0.15242514782797809,0.847574852172022
_SIROLIMUS,BETA-THALASSEMIA,NCT03877809,Phase 2,0.012960763670183596,0.9870392363298163
_OCTREOTIDE,GASTRO-ENTEROPANCREATIC NEUROENDOCRINE TUMOR,NCT03972488,Phase 3,0.16023445532798153,0.8397655446720185
_PROPRANOLOL,GASTRIC CANCER,NCT04005365,Phase 2,0.16965670214081907,0.8303432978591812
_SERTRALINE,MYELODYSPLASTIC SYNDROME,NCT02452983,Phase 1,0.4475433103539419,0.5524566896460584
_FOLIC_ACID,MUCOSITIS,NCT03581773,Phase 2,0.06275890164427286,0.9372410983557272
_BIOTIN,AMYOTROPHIC LATERAL SCLEROSIS,NCT03427086,Phase 2,0.2649098004253816,0.7350901995746186
_ANLOTINIB,OVARIAN CANCER,NCT03924882,Phase 2,0.2651459279772612,0.7348540720227389
_ANLOTINIB,SOFT TISSUE SARCOMA,NCT03890068,Phase 2,0.33869346028039116,0.6613065397196091
_ANLOTINIB,GASTROINTESTINAL STROMAL TUMORS,NCT04106024,Phase 2,0.3746835534313034,0.6253164465686968
_PERINDOPRIL,ALZHEIMER DISEASE,NCT02085265,Phase 2,0.042390482030316264,0.9576095179696837
_TELMISARTAN,ALZHEIMER DISEASE,NCT02085265,Phase 2,0.06884460818427901,0.9311553918157213
_AZACITIDINE,PANCREATIC CANCER,NCT01845805,Phase 2,0.3772401845419248,0.6227598154580751
_SUNITINIB,STOMACH NEOPLASMS,NCT03170180,Phase 2,0.10420854293888017,0.8957914570611202
_IMATINIB,STOMACH NEOPLASMS,NCT03170180,Phase 2,0.12177020881709577,0.8782297911829043
_GEFITINIB,STOMACH NEOPLASMS,NCT03170180,Phase 2,0.22464529548458045,0.7753547045154199
_SUNITINIB,GASTROINTESTINAL STROMAL TUMORS,NCT03673501,Phase 3,0.28727056234089904,0.7127294376591015
_SUNITINIB,PANCREATIC NEUROENDOCRINE TUMORS,NCT02282059,,0.12204699896331161,0.8779530010366886
_RUXOLITINIB,MALARIA,NCT04456634,Phase 1,0.21483811412666395,0.7851618858733365
_RUXOLITINIB_PHOSPHATE,MALARIA,NCT04456634,Phase 1,0.42921707226661726,0.5707829277333826
_DOXORUBICIN,GASTRIC CANCER,NCT04358341,Phase 2,0.012082545546826608,0.9879174544531735
_IRINOTECAN,GASTRIC CANCER,NCT04358341,Phase 2,0.09510823077906125,0.9048917692209392
_DOXORUBICIN_HYDROCHLORIDE,OVARIAN CANCER,NCT04337632,Phase 3,0.1827288309071069,0.8172711690928933
_CALCIUM_CARBONATE,OSTEOPOROSIS,NCT04550078,Not Applicable,0.07339824744790388,0.9266017525520964
_CURCUMIN,ULCERATIVE COLITIS,NCT02277223,Phase 3,0.10895844590332221,0.8910415540966778
_METFORMIN,FAMILIAL ADENOMATOUS POLYPOSIS,NCT01725490,Phase 2,0.012119457985133671,0.9878805420148663
_METFORMIN,PREECLAMPSIA,NCT03717701,Not Applicable,0.010553244836658452,0.9894467551633416
_ESOMEPRAZOLE,PREECLAMPSIA,NCT03717701,Not Applicable,0.04488589505905148,0.9551141049409485
_ICOSAPENT,ALZHEIMER DISEASE,NCT02719327,Phase 2|Phase 3,0.2569910754956278,0.7430089245043723
_ICOSAPENT_ETHYL,ALZHEIMER DISEASE,NCT02719327,Phase 2|Phase 3,0.45201639204392274,0.5479836079560774
_RITONAVIR,AMYOTROPHIC LATERAL SCLEROSIS,NCT02437110,Phase 1,0.4410488866983555,0.5589511133016445
_TENOFOVIR,AMYOTROPHIC LATERAL SCLEROSIS,NCT02437110,Phase 1,0.3477356634557877,0.6522643365442121
_LIPOIC_ACID,AMYOTROPHIC LATERAL SCLEROSIS,NCT04518540,Not Applicable,0.059218302359969395,0.9407816976400306
_FRUCTOSE,NONALCOHOLIC FATTY LIVER DISEASE,NCT01930123,Phase 2,0.39379009327212117,0.6062099067278787
_FLUOROURACIL,GASTRIC CANCER,NCT04379596,Phase 2,0.2119678546284216,0.7880321453715784
_PRAVASTATIN,PREECLAMPSIA,NCT03648970,Phase 2,0.05040948785642331,0.9495905121435767
_MONTELUKAST,ALZHEIMER DISEASE,NCT03991988,Phase 2,0.11485378749013796,0.8851462125098623
